id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
9282400,01001551111000062000000000U5,CORPORATIVO GLIBER,CORPORATIVO GLIBER ,551111,Corporativos,10,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,CALLE,NINGUNO,AVENIDA,GLORIETA DON QUIJOTE,CALLE,CHICHIMECO,1001,,EDIFICIO A,PISO 3,0,,COLONIA,SAN LUIS,CENTRO Y PLAZA COMERCIAL,PLAZA KRISTAL,301,20250,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes                                                                                                ,816,42,,,,Fijo,21.87848686,-102.2807742,2020-11
9362192,01001551111000071000000000U6,DAY STORE,EONSMOKE MEXICO SAPI DE CV,551111,Corporativos,5,AVENIDA,CONVENCION DE 1914 NORTE,CALLE,CARLOS SAGREDO,CALLE,FRANCISCO B. MARTINEZ,CALLE,OCEANÍA,2136,,,,0,,COLONIA,ALTAVISTA,,,,20040,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes                                                                                                ,337,2,,,WWW.VYPE.COM,Fijo,21.89613921,-102.3082158,2021-05
8251172,01005551111000011000006096S3,ENVASADORAS DE AGUAS AGUASCALIENTES ,ENVASADORA DE AGUAS EN MEXICO S DE RL DE CV,551111,Corporativos,5,CIRCUITO,AGUASCALIENTES SUR,CALLE,MUNICIPIO DE CALVILLO,CALLE,MUNICIPIO DE TEPEZALA,CALLE,MUNICIPIO DE JESUS MARIA,115,,,,0,,PARQUE INDUSTRIAL,PIVA,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL DEL VALLE DE AGUASCALIENTES,,20358,1,Aguascalientes,5,Jesús María,507,Parque Industrial del Valle de Aguascalientes (PIVA)                                                          ,35,5,,MARIE-ELIZABETH.GUTIERREZ@DANONE.COM,WWW.BOONAFONT.COM.MX,Fijo,21.96410864,-102.2834974,2019-11
6494081,02004468411001633011000000U1,CORPORATIVO ENERSER,CORPORATIVO DE ENERGIA SERVICIOS Y DESARROLLO DE NEGOCIOS SC DE RL DE CV,551111,Corporativos,251,CALLE,Misión de San Javier,BOULEVARD,GENERAL ABELARDO L. RODRÍGUEZ,CALLE,MISIÓN DE LORETO,CALLE,VÍA RÁPIDA,10643,,,,1001,,COLONIA,ZONA RIO,,,,22320,2,Baja California,4,Tijuana,1,Tijuana                                                                                                       ,3380,24,,CONTACTO@ENERSER.COM.MX,WWW.ENERSER.MX,Fijo,32.52116055,-117.0080678,2016-01
9310350,02004551112000031000028649S1,INFRAESTRUCTURA ENERGETICA NOVA SAB DE CV,INFRAESTRUCTURA ENERGETICA NOVA SAB DE CV,551112,Tenedoras de acciones,5,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,MATANUCO,CALLE,PISTACHES,CALLE,MATANUCO,,SN,,,,,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL EL FLORIDO,,,,22244,2,Baja California,4,Tijuana,1,Tijuana                                                                                                       ,7839,51,,,,Fijo,32.44784108,-116.8751902,2020-11
9285168,02004551111000131000000000U1,MUÑOS Y ASOCIADOS,MUÑOS Y ASOCIADOS ,551111,Corporativos,5,BOULEVARD,GENERAL RODOLFO SANCHEZ TABOADA,BOULEVARD,CUAUHTEMOC SUR PONIENTE,CALLE,RIO BALSAS,CALLE,RÍO BALSAS,9551,,,PISO 5,601,,COLONIA,ZONA RIO,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COSMOPOLITAN,,22010,2,Baja California,4,Tijuana,1,Tijuana                                                                                                       ,3357,24,,,,Fijo,32.52442944,-117.0218183,2020-11
9300676,02002551111000094000000000U5,PETROLEOS MEXICANOS PEMEX,PETROLEOS MEXICANOS SA DE CV,551111,Corporativos,50,BOULEVARD,LAZARO CARDENAS,AVENIDA,LAGO CHAD,CALLE,LAGO DE BALKACH,AVENIDA,LAGO BALKAL,,SN,,,,,FRACCIONAMIENTO,JARDINES DEL LAGO,,,,21330,2,Baja California,2,Mexicali,1,Mexicali                                                                                                      ,280A,38,,,,Fijo,32.62394935,-115.482344,2020-11
9297697,03003551111000011000000000U6,BURGER KING,BURGER KING ,551111,Corporativos,5,CALLE,SEBASTIAN LERDO DE TEJADA,CALLE,MUTUALISMO,CALLE,PASEO ÁLVARO OBREGON,ANDADOR,IGNACIO BAÑUELOS CABEZUD,0,SN,,,0,,COLONIA,CENTRO,,,,23000,3,Baja California Sur,3,La Paz,1,La Paz                                                                                                        ,2252,40,,,,Fijo,24.16015983,-110.3181398,2020-11
9349148,03008551111000011000000000U5,MOVIMIENTO DE REGULARIZACION VEHICULAR,MOVIMIENTO DE REGULARIZACION VEHICULAR ORGANIZACION PARA REGULAFR VEHICULOS AMERICANOS,551111,Corporativos,5,AVENIDA,LEONA VICARIO,CALLE,LAGUNA ZEMPOALA,CALLE,LAGUNA DE MONTEBELLO,AVENIDA,LEONA VICARIO,,SN,,,0,,COLONIA,COLONIAS LAGUNITGAS,,,,23462,3,Baja California Sur,8,Los Cabos,54,Cabo San Lucas                                                                                                ,1354,15,6246902259,AUTOSREGULARIZACION@HOTMAIL.COM,,Fijo,22.91666194,-109.9242298,2021-05
9348930,03001551111000012000000000U8,PROCURADURIA GENERAL DE JUSTICIA,PROCURADURIA GENERAL DE JUSTICIA ,551111,Corporativos,10,BOULEVARD,BENITO JUAREZ,CALLE,PIPILA,CALLE,SERAPIO RENDON,AVENIDA,JOSÉ MARÍA MORELOS Y PAVÓN,,SN,,,,,CIUDAD,INSURGENTES,,,,23700,3,Baja California Sur,1,Comondú,133,Ciudad Insurgentes                                                                                            ,2366,19,,,,Fijo,25.26054631,-111.7788413,2021-05
