,State,Alcaldia,ZipCode
0,Ciudad de México,Álvaro Obregón,01000
1,Ciudad de México,Álvaro Obregón,01010
2,Ciudad de México,Álvaro Obregón,01020
3,Ciudad de México,Álvaro Obregón,01030
4,Ciudad de México,Álvaro Obregón,01040
5,Ciudad de México,Álvaro Obregón,01048
6,Ciudad de México,Álvaro Obregón,01049
7,Ciudad de México,Álvaro Obregón,01050
8,Ciudad de México,Álvaro Obregón,01060
9,Ciudad de México,Álvaro Obregón,01070
10,Ciudad de México,Álvaro Obregón,01080
11,Ciudad de México,Álvaro Obregón,01089
12,Ciudad de México,Álvaro Obregón,01090
13,Ciudad de México,Álvaro Obregón,01100
14,Ciudad de México,Álvaro Obregón,01109
15,Ciudad de México,Álvaro Obregón,01110
16,Ciudad de México,Álvaro Obregón,01120
17,Ciudad de México,Álvaro Obregón,01125
18,Ciudad de México,Álvaro Obregón,01130
19,Ciudad de México,Álvaro Obregón,01139
20,Ciudad de México,Álvaro Obregón,01140
21,Ciudad de México,Álvaro Obregón,01150
22,Ciudad de México,Álvaro Obregón,01160
23,Ciudad de México,Álvaro Obregón,01170
24,Ciudad de México,Álvaro Obregón,01180
25,Ciudad de México,Álvaro Obregón,01184
26,Ciudad de México,Álvaro Obregón,01200
27,Ciudad de México,Álvaro Obregón,01210
28,Ciudad de México,Álvaro Obregón,01219
29,Ciudad de México,Álvaro Obregón,01220
30,Ciudad de México,Álvaro Obregón,01230
31,Ciudad de México,Álvaro Obregón,01239
32,Ciudad de México,Álvaro Obregón,01240
33,Ciudad de México,Álvaro Obregón,01250
34,Ciudad de México,Álvaro Obregón,01259
35,Ciudad de México,Álvaro Obregón,01260
36,Ciudad de México,Álvaro Obregón,01269
37,Ciudad de México,Álvaro Obregón,01270
38,Ciudad de México,Álvaro Obregón,01275
39,Ciudad de México,Álvaro Obregón,01276
40,Ciudad de México,Álvaro Obregón,01278
41,Ciudad de México,Álvaro Obregón,01279
42,Ciudad de México,Álvaro Obregón,01280
43,Ciudad de México,Álvaro Obregón,01285
44,Ciudad de México,Álvaro Obregón,01289
45,Ciudad de México,Álvaro Obregón,01290
46,Ciudad de México,Álvaro Obregón,01296
47,Ciudad de México,Álvaro Obregón,01298
48,Ciudad de México,Álvaro Obregón,01299
49,Ciudad de México,Álvaro Obregón,01310
50,Ciudad de México,Álvaro Obregón,01320
51,Ciudad de México,Álvaro Obregón,01330
52,Ciudad de México,Álvaro Obregón,01340
53,Ciudad de México,Álvaro Obregón,01376
54,Ciudad de México,Álvaro Obregón,01377
55,Ciudad de México,Álvaro Obregón,01379
56,Ciudad de México,Álvaro Obregón,01389
57,Ciudad de México,Álvaro Obregón,01400
58,Ciudad de México,Álvaro Obregón,01407
59,Ciudad de México,Álvaro Obregón,01408
60,Ciudad de México,Álvaro Obregón,01410
61,Ciudad de México,Álvaro Obregón,01419
62,Ciudad de México,Álvaro Obregón,01420
63,Ciudad de México,Álvaro Obregón,01430
64,Ciudad de México,Álvaro Obregón,01440
65,Ciudad de México,Álvaro Obregón,01450
66,Ciudad de México,Álvaro Obregón,01460
67,Ciudad de México,Álvaro Obregón,01470
68,Ciudad de México,Álvaro Obregón,01480
69,Ciudad de México,Álvaro Obregón,01490
70,Ciudad de México,Álvaro Obregón,01500
71,Ciudad de México,Álvaro Obregón,01509
72,Ciudad de México,Álvaro Obregón,01510
